fullname,position,school,visiting_team,season,visit_type,source
Desmond Ridder,QB,Cincinnati,Carolina Panthers,2022,T30,CBSSports
Kenny Pickett,QB,Pittsburgh,Carolina Panthers,2022,T30,CBSSports
Malik Willis,QB,Liberty,Carolina Panthers,2022,T30,CBSSports
Matt Corral,QB,Ole Miss,Carolina Panthers,2022,T30,CBSSports
Sam Howell,QB,North Carolina,Carolina Panthers,2022,T30,CBSSports
Velus Jones Jr.,WR,Tennessee,Carolina Panthers,2022,T30,CBSSports
Jerome Ford,RB,Cincinnati,Carolina Panthers,2022,T30,CBSSports
Tyrion Davis-Price,RB,LSU,Carolina Panthers,2022,T30,CBSSports
Ikem Ekwonu,OL,N.C. State,Carolina Panthers,2022,T30,CBSSports
Rasheed Walker,OL,Penn State,Carolina Panthers,2022,T30,CBSSports
Travon Walker,DL,Georgia,Carolina Panthers,2022,T30,CBSSports
Marcus Jones,CB,Houston,Carolina Panthers,2022,T30,CBSSports
Tariq Woolen,CB,UTSA,Carolina Panthers,2022,T30,CBSSports
Jalen Nailor,WR,Michigan State,Chicago Bears,2022,T30,CBSSports
Tyquan Thornton,WR,Baylor,Chicago Bears,2022,T30,CBSSports
Chigoziem Okonkwo,TE,Maryland,Chicago Bears,2022,T30,CBSSports
Brian Asamoah,LB,Oklahoma,Chicago Bears,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Chicago Bears,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Chicago Bears,2022,T30,CBSSports
Esezi Otomewo,DL,Minnesota,Chicago Bears,2022,T30,CBSSports
Samori Toure,WR,Nebraska,Cincinnati Bengals,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Cincinnati Bengals,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Cincinnati Bengals,2022,T30,CBSSports
Michael Clemons,DE,Texas A&M,Cincinnati Bengals,2022,T30,CBSSports
Alontae Taylor,CB,Tennessee,Cincinnati Bengals,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,Cincinnati Bengals,2022,T30,CBSSports
Joey Blount,S,Virginia,Cincinnati Bengals,2022,T30,CBSSports
James Cook,RB,Georgia,Cleveland Browns,2022,T30,CBSSports
Rachaad White,RB,Arizona State,Cleveland Browns,2022,T30,CBSSports
Christian Watson,WR,North Dakota State,Cleveland Browns,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Cleveland Browns,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Cleveland Browns,2022,T30,CBSSports
Chase Lucas,CB,Arizona State,Cleveland Browns,2022,T30,CBSSports
Malik Davis,RB,Florida,Dallas Cowboys,2022,T30,CBSSports
Chris Olave,WR,Ohio State,Dallas Cowboys,2022,T30,CBSSports
Drake London,WR,USC,Dallas Cowboys,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Dallas Cowboys,2022,T30,CBSSports
Cade Otton,TE,Washington,Dallas Cowboys,2022,T30,CBSSports
Jeremy Ruckert,TE,Ohio State,Dallas Cowboys,2022,T30,CBSSports
Bernhard Raimann,OL,Central Michigan,Dallas Cowboys,2022,T30,CBSSports
Charles Cross,OL,Mississippi State,Dallas Cowboys,2022,T30,CBSSports
Joshua Ezeudu,OL,North Carolina,Dallas Cowboys,2022,T30,CBSSports
Zion Johnson,OL,Boston College,Dallas Cowboys,2022,T30,CBSSports
Cam Jurgens,OL,Nebraska,Dallas Cowboys,2022,T30,CBSSports
Dawson Deaton,OL,Texas Tech,Dallas Cowboys,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Dallas Cowboys,2022,T30,CBSSports
Jalen Wydermyer,TE,Texas A&M,Dallas Cowboys,2022,T30,CBSSports
Jelani Woods,TE,Virginia,Dallas Cowboys,2022,T30,CBSSports
DeMarvin Leal,DT,Texas A&M,Dallas Cowboys,2022,T30,CBSSports
Jordan Davis,DT,Georgia,Dallas Cowboys,2022,T30,CBSSports
Perrion Winfrey,DT,Oklahoma,Dallas Cowboys,2022,T30,CBSSports
David Anenih,DE,Houston,Dallas Cowboys,2022,T30,CBSSports
Luiji Vilain,DE,Wake Forest,Dallas Cowboys,2022,T30,CBSSports
Myjai Sanders,DE,Cincinnati,Dallas Cowboys,2022,T30,CBSSports
Sam Williams,EDGE,Ole Miss,Dallas Cowboys,2022,T30,CBSSports
Devin Harper,LB,Oklahoma State,Dallas Cowboys,2022,T30,CBSSports
Devin Lloyd,LB,Utah,Dallas Cowboys,2022,T30,CBSSports
James Houston,LB,Jackson State,Dallas Cowboys,2022,T30,CBSSports
Quay Walker,LB,Georgia,Dallas Cowboys,2022,T30,CBSSports
Daron Bland,CB,Fresno State,Dallas Cowboys,2022,T30,CBSSports
Markquese Bell,S,Florida A&M,Dallas Cowboys,2022,T30,CBSSports
James Cook,RB,Georgia,Denver Broncos,2022,T30,CBSSports
Shermari Jones,RB,Coastal Carolina,Denver Broncos,2022,T30,CBSSports
Chigoziem Okonkwo,TE,Maryland,Denver Broncos,2022,T30,CBSSports
Abraham Lucas,OL,Washington State,Denver Broncos,2022,T30,CBSSports
Braxton Jones,OL,Southern Utah,Denver Broncos,2022,T30,CBSSports
Tyler Smith,OL,Tulsa,Denver Broncos,2022,T30,CBSSports
Cam Jurgens,OL,Nebraska,Denver Broncos,2022,T30,CBSSports
Cole Strange,OL,Chattanooga,Denver Broncos,2022,T30,CBSSports
Dylan Parham,OL,Memphis,Denver Broncos,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Denver Broncos,2022,T30,CBSSports
Cordale Flott,CB,LSU,Denver Broncos,2022,T30,CBSSports
Ja'Quan McMillian,CB,East Carolina,Denver Broncos,2022,T30,CBSSports
Nick Grant,S,Broncos,Denver Broncos,2022,T30,CBSSports
Tariq Carpenter,S,Georgia Tech,Denver Broncos,2022,T30,CBSSports
Hassan Haskins,RB,Michigan,Detroit Lions,2022,T30,CBSSports
Tay Martin,WR,Oklahoma State,Detroit Lions,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Detroit Lions,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Detroit Lions,2022,T30,CBSSports
Travon Walker,DL,Georgia,Detroit Lions,2022,T30,CBSSports
Aidan Hutchinson,EDGE,Michigan,Detroit Lions,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,Detroit Lions,2022,T30,CBSSports
Brian Asamoah,LB,Oklahoma,Detroit Lions,2022,T30,CBSSports
Nakobe Dean,LB,Georgia,Detroit Lions,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,Detroit Lions,2022,T30,CBSSports
Derek Stingley Jr.,CB,LSU,Detroit Lions,2022,T30,CBSSports
Kyle Hamilton,S,Notre Dame,Detroit Lions,2022,T30,CBSSports
George Pickens,WR,Georgia,Green Bay Packers,2022,T30,CBSSports
Samori Toure,WR,Nebraska,Green Bay Packers,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Green Bay Packers,2022,T30,CBSSports
Tyquan Thornton,WR,Baylor,Green Bay Packers,2022,T30,CBSSports
Velus Jones Jr.,WR,Tennessee,Green Bay Packers,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Green Bay Packers,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Green Bay Packers,2022,T30,CBSSports
Sam Williams,EDGE,Ole Miss,Green Bay Packers,2022,T30,CBSSports
Tariq Carpenter,S,Georgia Tech,Green Bay Packers,2022,T30,CBSSports
EJ Perry,QB,Brown,Houston Texans,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Houston Texans,2022,T30,CBSSports
Ikem Ekwonu,OL,N.C. State,Houston Texans,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Houston Texans,2022,T30,CBSSports
Travon Walker,DL,Georgia,Houston Texans,2022,T30,CBSSports
Aidan Hutchinson,EDGE,Michigan,Houston Texans,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Houston Texans,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,Houston Texans,2022,T30,CBSSports
Brian Asamoah,LB,Oklahoma,Houston Texans,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,Houston Texans,2022,T30,CBSSports
Alontae Taylor,CB,Tennessee,Houston Texans,2022,T30,CBSSports
Derek Stingley Jr.,CB,LSU,Houston Texans,2022,T30,CBSSports
Kaiir Elam,CB,Florida,Houston Texans,2022,T30,CBSSports
Malik Willis,QB,Liberty,Indianapolis Colts,2022,T30,CBSSports
Sam Howell,QB,North Carolina,Indianapolis Colts,2022,T30,CBSSports
Samori Toure,WR,Nebraska,Indianapolis Colts,2022,T30,CBSSports
Velus Jones Jr.,WR,Tennessee,Indianapolis Colts,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Indianapolis Colts,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Indianapolis Colts,2022,T30,CBSSports
Esezi Otomewo,DL,Minnesota,Indianapolis Colts,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Indianapolis Colts,2022,T30,CBSSports
Christian Holmes,CB,Oklahoma State,Indianapolis Colts,2022,T30,CBSSports
Cordale Flott,CB,LSU,Indianapolis Colts,2022,T30,CBSSports
Tariq Woolen,CB,UTSA,Indianapolis Colts,2022,T30,CBSSports
Hassan Haskins,RB,Michigan,Jacksonville Jaguars,2022,T30,CBSSports
Tyrion Davis-Price,RB,LSU,Jacksonville Jaguars,2022,T30,CBSSports
John Metchie III,WR,Alabama,Jacksonville Jaguars,2022,T30,CBSSports
Trey McBride,TE,Colorado State,Jacksonville Jaguars,2022,T30,CBSSports
Evan Neal,OL,Alabama,Jacksonville Jaguars,2022,T30,CBSSports
Ikem Ekwonu,OL,N.C. State,Jacksonville Jaguars,2022,T30,CBSSports
Tyler Smith,OL,Tulsa,Jacksonville Jaguars,2022,T30,CBSSports
Rasheed Walker,OL,Penn State,Jacksonville Jaguars,2022,T30,CBSSports
Travon Walker,DL,Georgia,Jacksonville Jaguars,2022,T30,CBSSports
Zachary Carter,DL,Florida,Jacksonville Jaguars,2022,T30,CBSSports
Aidan Hutchinson,EDGE,Michigan,Jacksonville Jaguars,2022,T30,CBSSports
Quay Walker,LB,Georgia,Jacksonville Jaguars,2022,T30,CBSSports
Derek Stingley Jr.,CB,LSU,Jacksonville Jaguars,2022,T30,CBSSports
Percy Butler,S,Louisiana,Jacksonville Jaguars,2022,T30,CBSSports
Shermari Jones,RB,Coastal Carolina,Kansas City Chiefs,2022,T30,CBSSports
Erik Ezukanma,WR,Texas Tech,Kansas City Chiefs,2022,T30,CBSSports
George Pickens,WR,Georgia,Kansas City Chiefs,2022,T30,CBSSports
Samori Toure,WR,Nebraska,Kansas City Chiefs,2022,T30,CBSSports
Devonte Wyatt,DL,Georgia,Kansas City Chiefs,2022,T30,CBSSports
Joshua Williams,CB,Fayetteville State,Kansas City Chiefs,2022,T30,CBSSports
Nasir Greer,S,Wake Forest,Kansas City Chiefs,2022,T30,CBSSports
Danny Gray,WR,SMU,Las Vegas Raiders,2022,T30,CBSSports
Erik Ezukanma,WR,Texas Tech,Las Vegas Raiders,2022,T30,CBSSports
EJ Perry,QB,Brown,Las Vegas Raiders,2022,T30,CBSSports
Devonte Wyatt,DL,Georgia,Las Vegas Raiders,2022,T30,CBSSports
Esezi Otomewo,DL,Minnesota,Las Vegas Raiders,2022,T30,CBSSports
Alontae Taylor,CB,Tennessee,Las Vegas Raiders,2022,T30,CBSSports
Cordale Flott,CB,LSU,Las Vegas Raiders,2022,T30,CBSSports
Kalon Barnes,CB,Baylor,Las Vegas Raiders,2022,T30,CBSSports
Marcus Jones,CB,Houston,Las Vegas Raiders,2022,T30,CBSSports
Tariq Woolen,CB,UTSA,Las Vegas Raiders,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Los Angeles Chargers,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Los Angeles Chargers,2022,T30,CBSSports
Ja'Sir Taylor,CB,Wake Forest,Los Angeles Chargers,2022,T30,CBSSports
Joey Blount,S,Virginia,Los Angeles Chargers,2022,T30,CBSSports
James Cook,RB,Georgia,Miami Dolphins,2022,T30,CBSSports
Cole Strange,OL,Chattanooga,Miami Dolphins,2022,T30,CBSSports
Channing Tindall,LB,Georgia,Miami Dolphins,2022,T30,CBSSports
Zyon Gilbert,DB,Florida Atlantic,Miami Dolphins,2022,T30,CBSSports
Danny Gray,WR,SMU,Minnesota Vikings,2022,T30,CBSSports
Tay Martin,WR,Oklahoma State,Minnesota Vikings,2022,T30,CBSSports
Aron Johnson,OL,South Dakota State,Minnesota Vikings,2022,T30,CBSSports
Jarrid Williams,OL,Miami,Minnesota Vikings,2022,T30,CBSSports
Cole Strange,OL,Chattanooga,Minnesota Vikings,2022,T30,CBSSports
Rasheed Walker,OL,Penn State,Minnesota Vikings,2022,T30,CBSSports
David Anenih,DL,Houston,Minnesota Vikings,2022,T30,CBSSports
Esezi Otomewo,DL,Minnesota,Minnesota Vikings,2022,T30,CBSSports
Cameron Goode,LB,California,Minnesota Vikings,2022,T30,CBSSports
Darien Butler,LB,Arizona State,Minnesota Vikings,2022,T30,CBSSports
Jack Jones,CB,Arizona State,Minnesota Vikings,2022,T30,CBSSports
Kalon Barnes,CB,Baylor,Minnesota Vikings,2022,T30,CBSSports
Marcus Jones,CB,Houston,Minnesota Vikings,2022,T30,CBSSports
Kerby Joseph,S,Illinois,Minnesota Vikings,2022,T30,CBSSports
Percy Butler,S,Louisiana,Minnesota Vikings,2022,T30,CBSSports
James Cook,RB,Georgia,New England Patriots,2022,T30,CBSSports
John Metchie III,WR,Alabama,New England Patriots,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,New England Patriots,2022,T30,CBSSports
Trevor Penning,OL,Northern Iowa,New England Patriots,2022,T30,CBSSports
Darien Butler,LB,Arizona State,New England Patriots,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,New England Patriots,2022,T30,CBSSports
Chase Lucas,CB,Arizona State,New England Patriots,2022,T30,CBSSports
Jack Jones,CB,Arizona State,New England Patriots,2022,T30,CBSSports
Marcus Jones,CB,Houston,New England Patriots,2022,T30,CBSSports
Trent McDuffie,CB,Washington,New England Patriots,2022,T30,CBSSports
Malik Willis,QB,Liberty,New Orleans Saints,2022,T30,CBSSports
Matt Corral,QB,Ole Miss,New Orleans Saints,2022,T30,CBSSports
Sam Howell,QB,North Carolina,New Orleans Saints,2022,T30,CBSSports
Dameon Pierce,RB,Florida,New Orleans Saints,2022,T30,CBSSports
Jameson Williams,WR,Alabama,New Orleans Saints,2022,T30,CBSSports
Skyy Moore,WR,Western Michigan,New Orleans Saints,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,New Orleans Saints,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,New Orleans Saints,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,New Orleans Saints,2022,T30,CBSSports
Malik Willis,QB,Liberty,New York Giants,2022,T30,CBSSports
Sam Howell,QB,North Carolina,New York Giants,2022,T30,CBSSports
Brian Robinson,RB,Alabama,New York Giants,2022,T30,CBSSports
Breece Hall,RB,Iowa State,New York Giants,2022,T30,CBSSports
James Cook,RB,Georgia,New York Giants,2022,T30,CBSSports
Ikem Ekwonu,OL,N.C. State,New York Giants,2022,T30,CBSSports
Evan Neal,OL,Alabama,New York Giants,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,New York Giants,2022,T30,CBSSports
Travon Walker,DL,Georgia,New York Giants,2022,T30,CBSSports
Aidan Hutchinson,EDGE,Michigan,New York Giants,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,New York Giants,2022,T30,CBSSports
Jesse Luketa,LB,Penn State,New York Giants,2022,T30,CBSSports
Nik Bonitto,LB,Oklahoma,New York Giants,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,New York Giants,2022,T30,CBSSports
Cordale Flott,CB,LSU,New York Giants,2022,T30,CBSSports
Derek Stingley Jr.,CB,LSU,New York Giants,2022,T30,CBSSports
Lewis Cine,S,Georgia,New York Giants,2022,T30,CBSSports
Chris Olave,WR,Ohio State,New York Jets,2022,T30,CBSSports
Garrett Wilson,WR,Ohio State,New York Jets,2022,T30,CBSSports
Jameson Williams,WR,Alabama,New York Jets,2022,T30,CBSSports
Taysir Mack,WR,Pittsburgh,New York Jets,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,New York Jets,2022,T30,CBSSports
Isaiah Likely,TE,Coastal Carolina,New York Jets,2022,T30,CBSSports
Evan Neal,OL,Alabama,New York Jets,2022,T30,CBSSports
Ikem Ekwonu,OL,N.C. State,New York Jets,2022,T30,CBSSports
Devonte Wyatt,DL,Georgia,New York Jets,2022,T30,CBSSports
Perrion Winfrey,DL,Oklahoma,New York Jets,2022,T30,CBSSports
Travon Walker,DL,Georgia,New York Jets,2022,T30,CBSSports
Aidan Hutchinson,EDGE,Michigan,New York Jets,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,New York Jets,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,New York Jets,2022,T30,CBSSports
Derek Stingley Jr.,CB,LSU,New York Jets,2022,T30,CBSSports
Matt Corral,QB,Ole Miss,Philadelphia Eagles,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Philadelphia Eagles,2022,T30,CBSSports
Tyler Smith,OL,Tulsa,Philadelphia Eagles,2022,T30,CBSSports
Devonte Wyatt,DL,Georgia,Philadelphia Eagles,2022,T30,CBSSports
Perrion Winfrey,DL,Oklahoma,Philadelphia Eagles,2022,T30,CBSSports
Jordan Davis,DT,Georgia,Philadelphia Eagles,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Philadelphia Eagles,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,Philadelphia Eagles,2022,T30,CBSSports
Jesse Luketa,LB,Penn State,Philadelphia Eagles,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,Philadelphia Eagles,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,Philadelphia Eagles,2022,T30,CBSSports
Marcus Jones,CB,Houston,Philadelphia Eagles,2022,T30,CBSSports
Carson Strong,QB,Nevada,Pittsburgh Steelers,2022,T30,CBSSports
Desmond Ridder,QB,Cincinnati,Pittsburgh Steelers,2022,T30,CBSSports
Malik Willis,QB,Liberty,Pittsburgh Steelers,2022,T30,CBSSports
Matt Corral,QB,Ole Miss,Pittsburgh Steelers,2022,T30,CBSSports
Sam Howell,QB,North Carolina,Pittsburgh Steelers,2022,T30,CBSSports
Eric Johnson,DL,Missouri State,Pittsburgh Steelers,2022,T30,CBSSports
James Skalski,LB,Clemson,Pittsburgh Steelers,2022,T30,CBSSports
Mark Robinson,LB,Ole Miss,Pittsburgh Steelers,2022,T30,CBSSports
Quay Walker,LB,Georgia,Pittsburgh Steelers,2022,T30,CBSSports
Marcus Jones,CB,Houston,Pittsburgh Steelers,2022,T30,CBSSports
Joey Blount,S,Virginia,Pittsburgh Steelers,2022,T30,CBSSports
Kyle Hamilton,S,Notre Dame,Pittsburgh Steelers,2022,T30,CBSSports
Nolan Turner,S,Clemson,Pittsburgh Steelers,2022,T30,CBSSports
Jerome Ford,RB,Cincinnati,San Francisco 49ers,2022,T30,CBSSports
Kalia Davis,DL,UCF,San Francisco 49ers,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,San Francisco 49ers,2022,T30,CBSSports
Joshua Williams,CB,Fayetteville State,San Francisco 49ers,2022,T30,CBSSports
Desmond Ridder,QB,Cincinnati,Seattle Seahawks,2022,T30,CBSSports
Samori Toure,WR,Nebraska,Seattle Seahawks,2022,T30,CBSSports
Cole Strange,OL,Chattanooga,Seattle Seahawks,2022,T30,CBSSports
Rasheed Walker,OL,Penn State,Seattle Seahawks,2022,T30,CBSSports
Ahmad Gardner,CB,Cincinnati,Seattle Seahawks,2022,T30,CBSSports
Kalon Barnes,CB,Baylor,Seattle Seahawks,2022,T30,CBSSports
Percy Butler,S,Louisiana,Seattle Seahawks,2022,T30,CBSSports
Dameon Pierce,RB,Florida,Tampa Bay Buccaneers,2022,T30,CBSSports
Hassan Haskins,RB,Michigan,Tampa Bay Buccaneers,2022,T30,CBSSports
Isaiah Spiller,RB,Texas A&M,Tampa Bay Buccaneers,2022,T30,CBSSports
James Cook,RB,Georgia,Tampa Bay Buccaneers,2022,T30,CBSSports
Malik Davis,RB,Florida,Tampa Bay Buccaneers,2022,T30,CBSSports
Rachaad White,RB,Arizona State,Tampa Bay Buccaneers,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Tampa Bay Buccaneers,2022,T30,CBSSports
Cole Strange,OL,Chattanooga,Tampa Bay Buccaneers,2022,T30,CBSSports
Nicholas Petit-Frere,OL,Ohio State,Tampa Bay Buccaneers,2022,T30,CBSSports
Devonte Wyatt,DL,Georgia,Tampa Bay Buccaneers,2022,T30,CBSSports
Cam Taylor Britt,CB,Nebraska,Tampa Bay Buccaneers,2022,T30,CBSSports
Roger McCreary,CB,Auburn,Tampa Bay Buccaneers,2022,T30,CBSSports
Kerby Joseph,S,Illinois,Tampa Bay Buccaneers,2022,T30,CBSSports
Malik Willis,QB,Liberty,Tennessee Titans,2022,T30,CBSSports
Skyy Moore,WR,Western Michigan,Tennessee Titans,2022,T30,CBSSports
Treylon Burks,WR,Arkansas,Tennessee Titans,2022,T30,CBSSports
Daniel Bellinger,TE,San Diego State,Tennessee Titans,2022,T30,CBSSports
Jalen Wydermyer,TE,Texas A&M,Tennessee Titans,2022,T30,CBSSports
Trey McBride,TE,Colorado State,Tennessee Titans,2022,T30,CBSSports
Tyler Smith,OL,Tulsa,Tennessee Titans,2022,T30,CBSSports
AJ Arcuri,OL,Michigan State,Tennessee Titans,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Tennessee Titans,2022,T30,CBSSports
Nicholas Petit-Frere,OL,Ohio State,Tennessee Titans,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Tennessee Titans,2022,T30,CBSSports
Jermaine Johnson II,EDGE,Florida State,Tennessee Titans,2022,T30,CBSSports
Alontae Taylor,CB,Tennessee,Tennessee Titans,2022,T30,CBSSports
Marcus Jones,CB,Houston,Tennessee Titans,2022,T30,CBSSports
Breece Hall,RB,Iowa State,Washington Commanders,2022,T30,CBSSports
Kenneth Walker III,RB,Michigan State,Washington Commanders,2022,T30,CBSSports
Tyrion Davis-Price,RB,LSU,Washington Commanders,2022,T30,CBSSports
Chris Olave,WR,Ohio State,Washington Commanders,2022,T30,CBSSports
John Metchie III,WR,Alabama,Washington Commanders,2022,T30,CBSSports
Jalen Wydermyer,TE,Texas A&M,Washington Commanders,2022,T30,CBSSports
Abraham Lucas,OL,Washington State,Washington Commanders,2022,T30,CBSSports
Luke Goedeke,OL,Central Michigan,Washington Commanders,2022,T30,CBSSports
Rasheed Walker,OL,Penn State,Washington Commanders,2022,T30,CBSSports
Spencer Burford,OL,UTSA,Washington Commanders,2022,T30,CBSSports
Tyler Smith,OL,Tulsa,Washington Commanders,2022,T30,CBSSports
Cameron Thomas,DL,San Diego State,Washington Commanders,2022,T30,CBSSports
Daxton Hill,S,Michigan,Washington Commanders,2022,T30,CBSSports
Jaquan Brisker,S,Penn State,Washington Commanders,2022,T30,CBSSports
