fullname,position,school,visiting_team,season,visit_type,source
Brian Robinson,RB,Alabama,Arizona Cardinals,2022,T30,CBSSports
Jerome Ford,RB,Cincinnati,Arizona Cardinals,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Arizona Cardinals,2022,T30,CBSSports
Isaiah Likely,TE,Coastal Carolina,Arizona Cardinals,2022,T30,CBSSports
Manny Jones,DT,Colorado State,Arizona Cardinals,2022,T30,CBSSports
Daniel Hardy,DE,Montana State,Arizona Cardinals,2022,T30,CBSSports
George Karlaftis,EDGE,Purdue,Arizona Cardinals,2022,T30,CBSSports
Tariq Carpenter,S,Georgia Tech,Arizona Cardinals,2022,T30,CBSSports
Malik Willis,QB,Liberty,Atlanta Falcons,2022,T30,CBSSports
Matt Corral,QB,Ole Miss,Atlanta Falcons,2022,T30,CBSSports
Sam Howell,QB,North Carolina,Atlanta Falcons,2022,T30,CBSSports
Greg Dulcich,TE,UCLA,Atlanta Falcons,2022,T30,CBSSports
Kenyon Green,OL,Texas A&M,Atlanta Falcons,2022,T30,CBSSports
Kalia Davis,DL,UCF,Atlanta Falcons,2022,T30,CBSSports
DeAngelo Malone,EDGE,Western Kentucky,Atlanta Falcons,2022,T30,CBSSports
Kayvon Thibodeaux,EDGE,Oregon,Atlanta Falcons,2022,T30,CBSSports
Sam Williams,EDGE,Ole Miss,Atlanta Falcons,2022,T30,CBSSports
Jaylon Jones,DB,Ole Miss,Atlanta Falcons,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,Atlanta Falcons,2022,T30,CBSSports
James Cook,RB,Georgia,Baltimore Ravens,2022,T30,CBSSports
Zamir White,RB,Georgia,Baltimore Ravens,2022,T30,CBSSports
Jason Poe,OL,Mercer,Baltimore Ravens,2022,T30,CBSSports
Trevor Penning,OL,Northern Iowa,Baltimore Ravens,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,Baltimore Ravens,2022,T30,CBSSports
Cam Taylor Britt,CB,Nebraska,Baltimore Ravens,2022,T30,CBSSports
Derion Kendrick,CB,Georgia,Baltimore Ravens,2022,T30,CBSSports
Isaiah Spiller,RB,Texas A&M,Buffalo Bills,2022,T30,CBSSports
James Cook,RB,Georgia,Buffalo Bills,2022,T30,CBSSports
John Metchie III,WR,Alabama,Buffalo Bills,2022,T30,CBSSports
Isaiah Likely,TE,Coastal Carolina,Buffalo Bills,2022,T30,CBSSports
Jalen Wydermyer,TE,Texas A&M,Buffalo Bills,2022,T30,CBSSports
Dylan Parham,OL,Memphis,Buffalo Bills,2022,T30,CBSSports
Nicholas Petit-Frere,OL,Ohio State,Buffalo Bills,2022,T30,CBSSports
Andrew Booth Jr.,CB,Clemson,Buffalo Bills,2022,T30,CBSSports
Lewis Cine,S,Georgia,Buffalo Bills,2022,T30,CBSSports
Nick Cross,S,Maryland,Buffalo Bills,2022,T30,CBSSports
Bailey Zappe,QB,Western Kentucky,Carolina Panthers,2022,T30,CBSSports
