fullname,position,school,visiting_team,season,visit_type
Payton Wilson,Linebacker,N.C. State,Tampa Bay Buccaneers,2024,COM
Kris Abrams-Draine,Cornerback,Missouri,Tennessee Titans,2024,T30
Rasheen Ali,Running Back,Marshall,Tennessee Titans,2024,T30
Joe Alt^,Offensive Tackle,Notre Dame,Tennessee Titans,2024,"COM, T30"
Terrion Arnold,Cornerback,Alabama,Tennessee Titans,2024,T30
Brock Bowers,Tight End,Georgia,Tennessee Titans,2024,COM
Jarvis Brownlee Jr.,Cornerback,Louisville,Tennessee Titans,2024,T30
Caelen Carson,Cornerback,Wake Forest,Tennessee Titans,2024,T30
Junior Colson,Linebacker,Michigan,Tennessee Titans,2024,T30
Olumuyiwa Fashanu,Offensive Tackle,Penn State,Tennessee Titans,2024,COM
Antonio Grier,Linebacker,Arkansas,Tennessee Titans,2024,PRO
Tyler Guyton,Offensive Tackle,Oklahoma,Tennessee Titans,2024,T30
McKinnley Jackson,Defensive Tackle,Texas A&M,Tennessee Titans,2024,T30
Cedric Johnson,Defensive End,Ole Miss,Tennessee Titans,2024,COM
Isaiah Johnson,Safety,Syracuse,Tennessee Titans,2024,PRO
J.C. Latham,Offensive Tackle,Alabama,Tennessee Titans,2024,T30
Marshawn Lloyd,Running Back,USC,Tennessee Titans,2024,T30
Kool-Aid McKinstry,Cornerback,Alabama,Tennessee Titans,2024,T30
Jordan Morgan,Offensive Tackle,Arizona,Tennessee Titans,2024,COM
Malik Nabers^,Wide Receiver,LSU,Tennessee Titans,2024,"COM, PRO, T30"
Bo Nix,Quarterback,Oregon,Tennessee Titans,2024,COM
Rome Odunze,Wide Receiver,Washington,Tennessee Titans,2024,COM
Patrick Paul,Offensive Tackle,Houston,Tennessee Titans,2024,COM
Norell Pollard,Defensive Tackle,Virginia Tech,Tennessee Titans,2024,VIR
Darius Robinson,Defensive Tackle,Missouri,Tennessee Titans,2024,VIR
T'Vondre Sweat,Defensive Tackle,Texas,Tennessee Titans,2024,T30
Devontez Walker,Wide Receiver,North Carolina,Tennessee Titans,2024,VIR
Roman Wilson,Wide Receiver,Michigan,Tennessee Titans,2024,T30
Erick All,Tight End,Iowa,Washington Redskins,2024,T30
Kiran Amegadjie,Offensive Tackle,Yale,Washington Redskins,2024,T30
Beanie Bishop,Cornerback,West Virginia,Washington Redskins,2024,T30
Austin Booker,Defensive End,Kansas,Washington Redskins,2024,T30
Jonathon Brooks,Running Back,Texas,Washington Redskins,2024,COM
Jarvis Brownlee Jr.,Cornerback,Louisville,Washington Redskins,2024,T30
Brandon Coleman^,Offensive Tackle,TCU,Washington Redskins,2024,"COM, T30"
Jayden Daniels^,Quarterback,LSU,Washington Redskins,2024,"COM, T30, PRO, VIR"
Rod Gattison^,Cornerback,Western Carolina,Washington Redskins,2024,"LOC, T30"
Jaden Hicks,Safety,Washington State,Washington Redskins,2024,COM
Jalyx Hunt,Defensive End,Houston Baptist,Washington Redskins,2024,T30
Javontae Jean-Baptiste,Defensive End,Notre Dame,Washington Redskins,2024,T30
Elijah Jones,Cornerback,Boston College,Washington Redskins,2024,T30
Marshawn Kneeland,Defensive End,Western Michigan,Washington Redskins,2024,T30
Tyrice Knight,Linebacker,UTEP,Washington Redskins,2024,T30
Drake Maye^,Quarterback,North Carolina,Washington Redskins,2024,"COM, T30"
J.J. McCarthy^,Quarterback,Michigan,Washington Redskins,2024,"COM, PRO, T30"
Jordan Morgan,Offensive Tackle,Arizona,Washington Redskins,2024,T30
Bo Nix,Quarterback,Oregon,Washington Redskins,2024,COM
Michael Penix Jr.,Quarterback,Washington,Washington Redskins,2024,T30
Norell Pollard,Defensive Tackle,Virginia Tech,Washington Redskins,2024,VIR
Chop Robinson,Outside Linebacker,Penn State,Washington Redskins,2024,T30
Darius Robinson,Defensive Tackle,Missouri,Washington Redskins,2024,COM
Trevin Wallace,Outside Linebacker,Kentucky,Washington Redskins,2024,T30
Jared Wiley,Tight End,TCU,Washington Redskins,2024,T30
